Id,Name,Ratings,Price,Original_Price,Discount_Element,Annual_Power_Usage,Room_Size,Warranty
590,Blue Star 1.5 Ton 3 Star Split Inverter AC  - Grey,N/A,"53,000","61,250",13%, 1006.84 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
591,Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,3.9,"65,999","68,999",4%, 2550 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
592,SAMSUNG 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"54,999","75,990",27%, 749.48 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
593,Voltas 2 Ton Split Inverter AC  - White,N/A,"44,999","75,000",40%, 151 - 200 sqft,,
594,ONIDA 2023 Model 1 Ton 3 Star Split Inverter AC  - White,4.7,"28,990","42,900",32%, 689.19 kWh,90,1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida
595,SAMSUNG 2022 Model 1.5 Ton 3 Star Split Inverter AC  - White,4,"36,575","60,990",40%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
596,Electrolux Convertible 1.8 Ton 3 Star Split Inverter Expandable Anti-bacterial & PM2.5 Filter AC  - Wh...,3,"52,929","83,990",36%, 1210.26 kWh, 151 - 200 ,1 Year Standard Warranty on Product; 10 Years Warranty on Compressor; 5 Years Warranty on  PCB
597,Hitachi 1.5 Ton 3 Star Split Inverter AC  - Gold,3.9,"41,500","60,500",31%, 1730 kWh, 111 - 150 ,1 years Comprehensive warranty
598,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"48,600","75,400",35%, 783.33 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
599,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,4.7,"44,850","74,500",39%, 774.88 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
600,Lloyd 1.5 Ton 3 Star Split AC  - White,4.2,"35,789","52,990",32%, 1490 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
601,MOTOROLA 1.5 Ton 3 Star Split Dual Inverter Smart AC with Wi-fi Connect  - Silver,4.3,"31,325","49,299",36%, 1101.4 kWh, 111 - 150 ,1 year on product and 10 years on compressor
602,Hitachi 1.5 Ton 3 Star Split Inverter Expandable AC  - White,4.4,"42,000","51,390",18%, 0 kWh, 111 - 150 ,1 Year on Complete Unit and 5 Years on Compressor from Hitachi
603,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,3.7,"36,999","55,400",33%, 1015.62 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
604,Hitachi 1.8 Ton 3 Star Split Inverter AC  - White,N/A,"47,529","69,600",31%, 1236.39 kWh, 151 - 200 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
605,"Hitachi 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White, Gold",3.7,"45,395","71,900",36%, 780.6 kWh, 111 - 150 ,2 Year on Product
606,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"44,990","70,990",36%, 759.56 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
607,SAMSUNG 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"49,500","64,900",23%, 749.48 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
608,"Haier Turbo Cool Plus 2023 Model 1.5 Ton 2 Star Split Extreme Temperature Cooling, Micro Antibacterial...",4.1,"41,999","59,999",30%, 1123.23 kWh, 111 - 150 ,1 Year Comprehensive Warranty and 6 Years on Compressor
609,"Hitachi 3400FXL 2023 Model 1 Ton 3 Star Split Inverter ice Clean, Xpandable Plus, Long air throw with ...",3.9,"32,990","54,300",39%, 669.16 W,90,1 Year Warranty on Product and 5 Years Warranty on Compressor
610,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"45,490","75,000",39%, 783.33 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
611,CARRIER 1.5 Ton 3 Star Split AC  - White,N/A,"41,500","50,400",17%, 980 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor from Carrier
612,Hitachi 1.5 Ton Split Inverter AC  - White,N/A,"48,500","71,500",32%, 111 - 150 sqft,,
613,ONIDA 2023 Model 2 Ton 3 Star Split Inverter AC  - White,N/A,"44,885","59,990",25%, 1253.21 kWh, 151 - 200 ,1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida
614,Blue Star 2 Ton 5 Star Split Inverter AC  - White,3.9,"65,300","76,000",14%, 1087.24 kWh, 151 - 200 ,1 Year on Product
615,"Hitachi 1 Ton 5 Star Split Inverter AC  - White, Gold",3.9,"54,599","1,29,600",57%, 585.85 kWh,90,1 Year Warranty on Complete Product and 10 Years on Compressor
616,Godrej 2023 Model 1.5 Ton Split Inverter AC  - White,N/A,"35,090","54,581",35%, 111 - 150 sqft,,
617,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,4,"44,300","68,990",35%, 735.4 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor from Voltas
618,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"49,600","70,500",29%, 858.92 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
619,CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,3.8,"41,600","67,500",38%, 999.69 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
620,Hitachi 1.5 Ton 5 Star Split Inverter Expandable AC  - White,N/A,"48,900","70,500",30%, 1540 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
621,CARRIER 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"47,800","76,490",37%, 841.86 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
622,Hitachi 1 Ton 5 Star Split Inverter AC  - White,4.6,"43,500","54,600",20%, 828.37 kWh,90,1 Year on Product
623,CARRIER 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"41,980","49,990",16%, 2550 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
624,Lloyd 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"49,460","78,990",37%, 1261.37 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
625,O General 2 Ton 4 Star Split Inverter AC  - White,N/A,"63,490","72,630",12%, 1286 kWh, 151 - 200 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From O-General
626,SAMSUNG windfree 1.5 Ton 3 Star Split Inverter AC  - White,4,"64,990","66,990",2%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product
627,Blue Star 2 Ton 5 Star Split Inverter AC  - White,2,"64,500","90,500",28%, 935.89 kWh, 151 - 200 ,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
628,Panasonic 2 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"62,304","82,400",24%, 1044.47 kWh, 151 - 200 ,1 Year Comprehensive Warranty
629,Voltas 1 Ton 3 Star Split Inverter AC  - White,4.1,"30,599","48,990",37%, 0 kWh,90,1 Year on Product
630,Haier 2 Ton 3 Star Split Inverter AC  - White,N/A,"48,490","80,000",39%, 1239.69 W, 151 - 200 ,1 Year Warranty on Product and 12 Years Warranty on Compressor
631,SAMSUNG windfree 1 Ton 3 Star Split Inverter AC  - White,4,"50,990",N/A,N/A, 624.48 kWh,90,1 Year Standard Warranty on Product
632,"Blue Star Convertible 4-in-1 Cooling 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalizer Free Oper...",4.1,"47,600","70,000",32%, 857.36 kWh, 111 - 150 ,1 Year Standard warranty and 4 Year Additional Bluestar Comprehensive Warranty with 10 Year Warranty on compressor from the date of purchase (Offer Valid till 30th September 2022)
633,Whirlpool 1.5 Ton Split Dual Inverter AC  - White,4.3,"37,590","50,000",24%, 111 - 150 sqft,,
634,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"43,800","75,400",41%, 893.02 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor
635,Lloyd . 1.5 Ton 5 Star Split Inverter with PM 2.5 Filter AC  - White,4.2,"41,960","60,990",31%, 111 - 150 sqft,,
636,IFB 7 Stage Air Treatment 1.5 Ton 3 Star Split Inverter PM 0.3 Filter Silver Series AC  - White,4.3,"39,500","55,600",28%, 1088.64 kWh, 111 - 150 ,1 year warranty on product + 5 years on ODU PCB
637,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.5 Ton 4 Star Split Inverter Smart Ready, 7 Stage...",3.8,"38,199","55,000",30%, 867.16 kWh, 111 - 150 ,1 Year Warranty on Product
638,Hitachi 1.5 Ton 2 Star Split AC  - White,3.5,"38,799","54,100",28%, 1045.04 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 5 Years Warranty on Compressor
639,CARRIER 1.5 Ton 3 Star Split AC  - White,3.8,"41,500","62,999",34%, 1118 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
640,Haier 1.5 Ton 3 Star Split AC  - White,4.1,"39,500","60,890",35%, 1123.23 kWh, 111 - 150 ,1 Year on Product (Comprehensive)
641,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.9,"32,999","61,000",45%, 1052.15 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
642,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 5 Star Split Inverter wi...,4.1,"66,990","87,900",23%, 926.66 kWh, 151 - 200 ,1 Year Comprehensive Warranty on Product
643,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"37,900","78,500",51%, 1220.59 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
644,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"40,600","59,900",32%, 1000.53 W, 111 - 150 ,1 Year Warranty on Product
645,Lloyd 2023 Model 1.5 Ton 2 Star Split AC  - White,4.1,"45,990","59,990",23%, 1114.71 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
646,BLACK+DECKER 1 Ton 3 Star Split Inverter AC  - White,N/A,"34,999","47,999",27%, 655.74 W,90,2 Years Comprehensive Warranty on Peoduct
647,Daikin 1.8 Ton 2 Star Split AC  - White,4,"46,499","52,100",10%, 0 kWh, 151 - 200 ,1 Year on Product and 5 Years on Compressor
648,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"44,575","71,990",38%, 749.48 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
649,Electrolux Convertible 1.5 Ton 3 Star Split Inverter Expandable Anti-bacterial & PM2.5 Filter AC  - Wh...,N/A,"36,599","62,990",41%, 1000.9 kWh, 111 - 150 ,1 Year Standard Warranty on Product; 10 Years Warranty on Compressor; 5 Years Warranty on  PCB
650,LG 2023 Model 1.5 Ton 5 Star Split Dual Inverter AC with Wi-fi Connect  - White,3.3,"49,990","81,990",39%, 685.26 kWh, 111 - 150 ,1 Year Comprehensive Warranty and 10 Years Compressor Warranty
651,Blue Star 1 Ton 3 Star Split Inverter AC  - White,4.2,"33,940","51,500",34%, 704.42 kWh,90,1 Year on Product and 10 Years on Compressor
652,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,3.7,"47,900","78,000",38%, 754.85 kWh, 111 - 150 ,1 Year on Product and 10 Years Warranty on Compressor
653,Hitachi 1 Ton 5 Star Split Inverter AC  - White,N/A,"43,400","60,500",28%, 533.61 W,90,1 Year Warranty on Product
654,"Hitachi 1 Ton 3 Star Split Inverter AC  - White, Gold",3.8,"48,198","48,200",N/A, 688.96 kWh,90,1 Year Warranty on Complete Product and 10 Years on Compressor
655,IFB 7 Stage Air Treatment 1.5 Ton 5 Star Split Inverter PM 0.3 Filter Gold Series AC  - White,4.3,"45,600","60,500",24%, 853.68 kWh, 111 - 150 ,1 year warranty on product + 5 years on ODU PCB
656,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,4.3,"37,900","55,600",31%, 1096.98 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor from Voltas
657,Voltas 2 Ton 3 Star Split Inverter AC  - White,4,"44,999","75,000",40%, 1122.45 kWh, 151 - 200 ,1 Year on Product and Condenser and 5 Years on Compressor from Voltas
658,Daikin 1 Ton 5 Star Split Inverter AC  - White,3.9,"40,490","55,500",27%, 523.54 kWh,90,1 Year on Product
659,O General 2 Ton 5 Star Split Inverter AC  - White,N/A,"74,500","85,260",12%, 1168.9 kWh, 151 - 200 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From O-General
660,Panasonic 1.5 Ton 3 Star Split AC  - White,N/A,"41,190","53,400",22%, 989.31 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
661,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"48,000","69,000",30%, 770.98 kWh, 111 - 150 ,1 Year Warranty and 4 Years Extended Warranty on Product and 10 Years Warranty on Compressor
662,Daikin 0.8 Ton 3 Star Split with PM 2.5 Filter AC with PM 2.5 Filter  - White,4.3,"27,499","32,000",14%, 767 kWh,90,1 Year on Product and 5 Years on Compressor
663,Daikin 1.5 Ton Split Inverter AC  - White,N/A,"41,890","58,400",28%, 111 - 150 sqft,,
664,Panasonic 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"47,035","69,900",32%, 1290 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
665,"LG Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Inverter 4 Way Swing, HD Filter with Ant...",4.1,"56,391","85,990",34%, 837.55 kWh, 111 - 150 ,1 Year Warranty on Product
666,Voltas 2 Ton 5 Star Split Inverter AC  - White,4.3,"55,000","85,990",36%, 151 - 200 sqft,,
667,Lloyd 1 Ton 5 Star Split Inverter Expandable 5 Star AC  - White,N/A,"36,999","65,990",43%, 90 sqft or Below,,
668,Blue Star 2 Ton Split AC  - White,N/A,"57,600","70,500",18%, 151 - 200 sqft,,
669,Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,3.5,"41,500","50,600",17%, 0 kWh, 111 - 150 ,1 Year on Complete Unit and 5 Years on Compressor
670,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,4,"45,400","61,990",26%, 0 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor From Daikin
671,SAMSUNG 2023 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"54,999","75,990",27%, 749.48 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
672,LG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"51,800","80,500",35%, 818.81 kWh, 111 - 150 ,1 Year on Product
673,Lloyd 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,4.2,"43,999","60,990",27%, 1370 kWh, 111 - 150 ,1 Year Comrehensive Warranty and 10 Years Warranty on Compressor from Lloyd
674,"Haier Frost Self-Clean 2023 Model 1.3 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super ...",4,"60,999","63,999",4%, 804.22 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 12 Years Warranty on Compressor
675,Blue Star 1 Ton 3 Star Split Inverter AC  - Grey,N/A,"38,000","51,500",26%, 705.78 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
676,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"41,900","60,500",30%, 1087.62 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
677,CARRIER 1.5 Ton 3 Star Split AC with PM 2.5 Filter  - White,4.3,"41,300","52,999",22%, 1128.65 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor
678,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"43,499","64,990",33%, 977.8 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
679,ONIDA 1 Ton 3 Star Split Inverter AC  - White,4.2,"28,599","48,490",41%, 713.54 kWh,90,1 Year on Product and 5 Year on Compressor from Onida
680,CARRIER 2 Ton Split AC  - White,N/A,"52,499","74,090",29%, 151 - 200 sqft,,
681,Godrej 2023 Model 5-In-1 Convertible Cooling 1.4 Ton 3 Star Split Inverter with I-Sense Technology AC ...,3.8,"39,500","50,400",21%, 952.09 kWh, 111 - 150 ,10 years warranty on Inverter compressor
682,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"43,800","75,400",41%, 892.32 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor from Voltas
683,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"48,000","60,000",20%, 783.33 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
684,Daikin 2.2 Ton 3 Star Split Inverter AC  - White,3.5,"77,600","86,500",10%, 1376.59 kWh,,
685,Voltas 1.5 Ton 5 Star Split Inverter adjustible AC  - White,4.3,"58,900","75,000",21%, 892.9 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
686,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"49,500","70,900",30%, 832.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung
687,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"41,500","59,000",29%, 975.37 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Inverter Compressor
688,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 4 Star Split Inverter ...,4.1,"49,800","67,999",26%, 885.4 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product
689,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"71,200",N/A,N/A, 756.78 kWh, 111 - 150 ,1 Year on Product
690,SAMSUNG 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,4.4,"37,990","69,990",45%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
691,ONIDA 2023 Model 1 Ton 3 Star Split Inverter AC  - White,N/A,"29,985","42,900",30%, 689.19 kWh,90,1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida
692,CARRIER 1.5 Ton 2 Star Split AC  - White,N/A,"38,798","59,000",34%, 1118.58 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor
693,Lloyd 2023 Model 1.5 Ton 3 Star Split AC  - White,4.3,"35,104","62,900",44%, 1012.53 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
694,IFB 7 Stage Air Treatment 1.5 Ton 5 Star Split Inverter PM 0.3 Filter Silver Series AC  - White,4.3,"45,300","60,500",25%, 835.5 kWh, 111 - 150 ,1 year warranty on product + 5 years on ODU PCB
695,Hitachi 2023 Model 1 Ton 3 Star Split Inverter AC  - White,N/A,"37,500","55,400",32%, 669.16 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
696,Haier 1 Ton 3 Star Split Inverter AC  - White,4,"32,977","59,490",44%, 732.84 kWh,90,1 Year Warranty on Product and 12 Years on Compressor
697,Godrej 1.5 Ton 3 Star Split AC  - White,4,"37,500","53,900",30%, 1122.45 kWh, 111 - 150 ,1 Year On Product and Condenser Coil Warranty and 5 Years On Compressor from Godrej
698,Panasonic 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"38,989","60,900",35%, 1000.53 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
699,IFB 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.3,"44,601","60,500",26%, 2065 kWh, 111 - 150 ,1 Year Warranty on Product
700,Hitachi 1 Ton 3 Star Split AC  - White,3,"36,300","43,599",16%, 756.3 kWh,90,1 Year on Product
701,Blue Star Convertible 4 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter WiFi Inverter AC Multi S...,4,"47,800","71,750",33%, 867.55 kWh, 111 - 150 ,1 Year on Product and 10 Years Warranty on Compressor
702,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"37,500","61,990",39%, 1052.15 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor
703,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,4.4,"32,999","61,900",46%, 1128.49 kWh, 111 - 150 ,1 Year On Product and Condenser Coil Warranty and 5 Years On Compressor from Godrej
704,Hitachi 2023 Model 1 Ton 5 Star Split Inverter AC  - White,2.2,"39,739","62,600",36%, 533.61 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
705,IFB 1.5 Ton 5 Star Split Inverter AC  - White,4,"45,600","57,460",20%, 867.16 kWh, 111 - 150 ,1 Year Warranty on Product
706,"Hitachi 1.5 Ton 3 Star Split AC  - Gold, White",4,"41,500","50,900",18%, 1157.29 kWh, 111 - 150 ,1 Year Warranty on Complete Product and 5 Years on Compressor
